zone,from,to,weight_km,feasible
North,Z1_Depot,Z1_C1,5.835377,True
North,Z1_Depot,Z1_C2,3.406567,True
North,Z1_Depot,Z1_C3,7.2407,True
North,Z1_Depot,Z1_C4,7.401082,True
North,Z1_Depot,Z1_C5,3.3695,True
North,Z1_Depot,Z1_C6,4.051031,True
North,Z1_Depot,Z1_C7,6.228892,True
North,Z1_Depot,Z1_C8,7.110515,True
North,Z1_Depot,Z1_C9,4.790988,True
North,Z1_Depot,Z1_C10,3.988904,True
North,Z1_Depot,Z1_C11,1.545919,True
North,Z1_Depot,Z1_C12,2.666095,True
North,Z1_Depot,Z1_C13,4.554218,True
North,Z1_Depot,Z1_C14,5.036581,True
North,Z1_Depot,Z1_C15,5.493766,True
North,Z1_Depot,Z1_C16,6.797522,True
North,Z1_C1,Z1_C2,6.513262,True
North,Z1_C1,Z1_C3,2.375047,True
North,Z1_C1,Z1_C4,2.742191,True
North,Z1_C1,Z1_C5,5.038544,True
North,Z1_C1,Z1_C6,7.236084,True
North,Z1_C1,Z1_C7,0.941498,True
North,Z1_C1,Z1_C8,7.573073,True
North,Z1_C1,Z1_C9,7.168079,True
North,Z1_C1,Z1_C10,7.41893,True
North,Z1_C1,Z1_C11,7.335232,True
North,Z1_C1,Z1_C12,3.17097,True
North,Z1_C1,Z1_C13,7.060169,True
North,Z1_C1,Z1_C14,7.197676,True
North,Z1_C1,Z1_C15,0.789606,True
North,Z1_C1,Z1_C16,2.149329,True
North,Z1_C2,Z1_C3,6.772676,True
North,Z1_C2,Z1_C4,8.91527,True
North,Z1_C2,Z1_C5,1.520979,True
North,Z1_C2,Z1_C6,0.786837,True
North,Z1_C2,Z1_C7,6.403213,True
North,Z1_C2,Z1_C8,3.907017,True
North,Z1_C2,Z1_C9,1.38662,True
North,Z1_C2,Z1_C10,0.912061,True
North,Z1_C2,Z1_C11,3.459554,True
North,Z1_C2,Z1_C12,4.094019,True
North,Z1_C2,Z1_C13,1.148588,True
North,Z1_C2,Z1_C14,1.642314,True
North,Z1_C2,Z1_C15,6.591433,True
North,Z1_C2,Z1_C16,8.25473,True
North,Z1_C3,Z1_C4,4.607591,True
North,Z1_C3,Z1_C5,5.27099,True
North,Z1_C3,Z1_C6,7.349443,True
North,Z1_C3,Z1_C7,1.444413,True
North,Z1_C3,Z1_C8,6.50347,True
North,Z1_C3,Z1_C9,6.971004,True
North,Z1_C3,Z1_C10,7.591914,True
North,Z1_C3,Z1_C11,8.58241,True
North,Z1_C3,Z1_C12,4.724362,True
North,Z1_C3,Z1_C13,6.940174,True
North,Z1_C3,Z1_C14,6.905688,True
North,Z1_C3,Z1_C15,3.164349,True
North,Z1_C3,Z1_C16,4.183389,True
North,Z1_C4,Z1_C5,7.531197,True
North,Z1_C4,Z1_C6,9.678592,True
North,Z1_C4,Z1_C7,3.47289,True
North,Z1_C4,Z1_C8,10.312212,True
North,Z1_C4,Z1_C9,9.738001,True
North,Z1_C4,Z1_C10,9.826404,True
North,Z1_C4,Z1_C11,8.943934,True
North,Z1_C4,Z1_C12,5.009769,True
North,Z1_C4,Z1_C13,9.605436,True
North,Z1_C4,Z1_C14,9.798201,True
North,Z1_C4,Z1_C15,2.36018,True
North,Z1_C4,Z1_C16,0.660722,True
North,Z1_C5,Z1_C6,2.20076,True
North,Z1_C5,Z1_C7,4.88739,True
North,Z1_C5,Z1_C8,3.865806,True
North,Z1_C5,Z1_C9,2.237144,True
North,Z1_C5,Z1_C10,2.399534,True
North,Z1_C5,Z1_C11,4.05123,True
North,Z1_C5,Z1_C12,2.985484,True
North,Z1_C5,Z1_C13,2.082869,True
North,Z1_C5,Z1_C14,2.348288,True
North,Z1_C5,Z1_C15,5.180377,True
North,Z1_C5,Z1_C16,6.871548,True
North,Z1_C6,Z1_C7,7.076733,True
North,Z1_C6,Z1_C8,3.655282,True
North,Z1_C6,Z1_C9,0.965552,True
North,Z1_C6,Z1_C10,0.284664,True
North,Z1_C6,Z1_C11,3.862425,True
North,Z1_C6,Z1_C12,4.880564,True
North,Z1_C6,Z1_C13,0.762139,True
North,Z1_C6,Z1_C14,1.248906,True
North,Z1_C6,Z1_C15,7.344814,True
North,Z1_C6,Z1_C16,9.017872,True
North,Z1_C7,Z1_C8,6.979528,True
North,Z1_C7,Z1_C9,6.885253,True
North,Z1_C7,Z1_C10,7.285994,True
North,Z1_C7,Z1_C11,7.667953,True
North,Z1_C7,Z1_C12,3.593856,True
North,Z1_C7,Z1_C13,6.805818,True
North,Z1_C7,Z1_C14,6.878819,True
North,Z1_C7,Z1_C15,1.726255,True
North,Z1_C7,Z1_C16,2.948378,True
North,Z1_C8,Z1_C9,2.690038,True
North,Z1_C8,Z1_C10,3.904399,True
North,Z1_C8,Z1_C11,7.366218,True
North,Z1_C8,Z1_C12,6.654174,True
North,Z1_C8,Z1_C13,2.900718,True
North,Z1_C8,Z1_C14,2.408023,True
North,Z1_C8,Z1_C15,8.033644,True
North,Z1_C8,Z1_C16,9.696716,True
North,Z1_C9,Z1_C10,1.217916,True
North,Z1_C9,Z1_C11,4.772357,True
North,Z1_C9,Z1_C12,5.179425,True
North,Z1_C9,Z1_C13,0.239381,True
North,Z1_C9,Z1_C14,0.284205,True
North,Z1_C9,Z1_C15,7.379314,True
North,Z1_C9,Z1_C16,9.080632,True
North,Z1_C10,Z1_C11,3.698332,True
North,Z1_C10,Z1_C12,4.978348,True
North,Z1_C10,Z1_C13,1.030473,True
North,Z1_C10,Z1_C14,1.49707,True
North,Z1_C10,Z1_C15,7.503477,True
North,Z1_C10,Z1_C16,9.16594,True
North,Z1_C11,Z1_C12,4.167722,True
North,Z1_C11,Z1_C13,4.537072,True
North,Z1_C11,Z1_C14,5.050244,True
North,Z1_C11,Z1_C15,7.026273,True
North,Z1_C11,Z1_C16,8.342821,True
North,Z1_C12,Z1_C13,4.995558,True
North,Z1_C12,Z1_C14,5.31978,True
North,Z1_C12,Z1_C15,2.88681,True
North,Z1_C12,Z1_C16,4.365199,True
North,Z1_C13,Z1_C14,0.513331,True
North,Z1_C13,Z1_C15,7.249415,True
North,Z1_C13,Z1_C16,8.9468,True
North,Z1_C14,Z1_C15,7.438031,True
North,Z1_C14,Z1_C16,9.143071,True
North,Z1_C15,Z1_C16,1.70698,True
East,Z2_C1,Z2_C2,3.767913,True
East,Z2_C1,Z2_C3,1.915156,True
East,Z2_C1,Z2_C4,4.171864,True
East,Z2_C1,Z2_C5,2.30852,True
East,Z2_C1,Z2_C6,0.669514,True
East,Z2_C1,Z2_C7,6.477741,True
East,Z2_C1,Z2_C8,3.784206,True
East,Z2_C1,Z2_C9,5.759153,True
East,Z2_C1,Z2_C10,1.502073,True
East,Z2_C1,Z2_C11,5.430701,True
East,Z2_C1,Z2_C12,3.925434,True
East,Z2_C1,Z2_C13,5.766167,True
East,Z2_C1,Z2_C14,1.157866,True
East,Z2_C1,Z2_C15,3.223501,True
East,Z2_C1,Z2_C16,4.589547,True
East,Z2_C2,Z2_C3,2.01427,True
East,Z2_C2,Z2_C4,1.224552,True
East,Z2_C2,Z2_C5,3.727157,True
East,Z2_C2,Z2_C6,3.306808,True
East,Z2_C2,Z2_C7,2.833348,True
East,Z2_C2,Z2_C8,1.691243,True
East,Z2_C2,Z2_C9,2.515829,True
East,Z2_C2,Z2_C10,2.293574,True
East,Z2_C2,Z2_C11,1.703365,True
East,Z2_C2,Z2_C12,0.206985,True
East,Z2_C2,Z2_C13,2.007809,True
East,Z2_C2,Z2_C14,2.662055,True
East,Z2_C2,Z2_C15,0.728847,True
East,Z2_C2,Z2_C16,2.688799,True
East,Z2_C3,Z2_C4,2.788447,True
East,Z2_C3,Z2_C5,2.948119,True
East,Z2_C3,Z2_C6,1.678516,True
East,Z2_C3,Z2_C7,4.840346,True
East,Z2_C3,Z2_C8,2.711551,True
East,Z2_C3,Z2_C9,4.35552,True
East,Z2_C3,Z2_C10,0.48121,True
East,Z2_C3,Z2_C11,3.582115,True
East,Z2_C3,Z2_C12,2.203046,True
East,Z2_C3,Z2_C13,4.009292,True
East,Z2_C3,Z2_C14,0.760108,True
East,Z2_C3,Z2_C15,1.364518,True
East,Z2_C3,Z2_C16,3.754599,True
East,Z2_C4,Z2_C5,3.391675,True
East,Z2_C4,Z2_C6,3.581508,True
East,Z2_C4,Z2_C7,2.395475,True
East,Z2_C4,Z2_C8,0.740921,True
East,Z2_C4,Z2_C9,1.598752,True
East,Z2_C4,Z2_C10,2.886769,True
East,Z2_C4,Z2_C11,2.173143,True
East,Z2_C4,Z2_C12,1.068761,True
East,Z2_C4,Z2_C13,2.011235,True
East,Z2_C4,Z2_C14,3.237073,True
East,Z2_C4,Z2_C15,1.835153,True
East,Z2_C4,Z2_C16,1.510175,True
East,Z2_C5,Z2_C6,1.74914,True
East,Z2_C5,Z2_C7,5.746004,True
East,Z2_C5,Z2_C8,2.70975,True
East,Z2_C5,Z2_C9,4.707839,True
East,Z2_C5,Z2_C10,2.518391,True
East,Z2_C5,Z2_C11,5.35388,True
East,Z2_C5,Z2_C12,3.777963,True
East,Z2_C5,Z2_C13,5.376388,True
East,Z2_C5,Z2_C14,2.500151,True
East,Z2_C5,Z2_C15,3.591573,True
East,Z2_C5,Z2_C16,3.014516,True
East,Z2_C6,Z2_C7,5.927812,True
East,Z2_C6,Z2_C8,3.149125,True
East,Z2_C6,Z2_C9,5.152915,True
East,Z2_C6,Z2_C10,1.202074,True
East,Z2_C6,Z2_C11,5.001299,True
East,Z2_C6,Z2_C12,3.44525,True
East,Z2_C6,Z2_C13,5.272966,True
East,Z2_C6,Z2_C14,0.972538,True
East,Z2_C6,Z2_C15,2.846273,True
East,Z2_C6,Z2_C16,3.925545,True
East,Z2_C7,Z2_C8,3.036307,True
East,Z2_C7,Z2_C9,1.231468,True
East,Z2_C7,Z2_C10,5.072345,True
East,Z2_C7,Z2_C11,1.809213,True
East,Z2_C7,Z2_C12,2.638531,True
East,Z2_C7,Z2_C13,1.046811,True
East,Z2_C7,Z2_C14,5.440492,True
East,Z2_C7,Z2_C15,3.54129,True
East,Z2_C7,Z2_C16,3.113958,True
East,Z2_C8,Z2_C9,2.052891,True
East,Z2_C8,Z2_C10,2.683687,True
East,Z2_C8,Z2_C11,2.901911,True
